key,canonicalId,duplicateId,duplicateTitle,duplicateLink,duplicateRating
https:/en.wikibooks.org/wiki/korean,korean-wikibooks-pronunciation,korean_wikibooks___pronunciation_rules_aHR0cHM6,"Korean Wikibooks - Pronunciation Rules","https://en.wikibooks.org/wiki/Korean",4.3
https:/fluent-forever.com/korean/,fluent-forever-korean,fluent_forever___korean_phonology_aHR0cHM6,"Fluent Forever - Korean Phonology","https://fluent-forever.com/korean/",4.5
https:/www.ryanestrada.com/learntoreadkoreanin15minutes/,ryan-estrada-hangul,ryan_estradas_15_minute_guide_to_hangeul_aHR0cHM6,"Ryan Estrada's 15 Minute Guide to Hangeul","https://www.ryanestrada.com/learntoreadkoreanin15minutes/",4.7
http:/www.korean.go.kr/,georgetown-hangeul,georgetown___korean_alphabet_origins_aHR0cDov,"Georgetown - Korean Alphabet Origins","http://www.korean.go.kr/",4.2
https:/www.youtube.com/@nativlang,nativlang-hangeul,nativlang___korean_alphabet_video_aHR0cHM6,"NativLang - Korean Alphabet Video","https://www.youtube.com/@NativLang",4.6
https:/www.gobillykorean.com/,go-billy-hangul,gobilly-korean-grammar,"GoBillyKorean","https://www.gobillykorean.com/",4.6
https:/www.gobillykorean.com/,go-billy-hangul,go_billy___hangeul_series_aHR0cHM6,"Go! Billy - Hangeul Series","https://www.gobillykorean.com/",4.6
https:/www.gobillykorean.com/,go-billy-hangul,gobillykorean_aHR0cHM6,"GoBillyKorean","https://www.gobillykorean.com/",4.6
https:/talktomeinkorean.com/,talk_to_me_in_korean_aHR0cHM6,talk-to-me-in-korean-grammar,"Talk To Me In Korean","https://talktomeinkorean.com/",
https:/www.howtostudykorean.com/,how_to_study_korean_aHR0cHM6,how-to-study-korean-grammar,"How To Study Korean","https://www.howtostudykorean.com/",
https:/ultimatekorean.com/,ultimatekorean_aHR0cHM6,ultimate-korean-grammar,"UltimateKOREAN","https://ultimatekorean.com/",
https:/www.koreanwikiproject.com/,korean-wiki-project-grammar,korean_wiki_project_aHR0cHM6,"Korean Wiki Project","https://www.koreanwikiproject.com/",4.3
https:/www.dliflc.edu/,dliflc-korean,dliflc_korean_courses_aHR0cHM6,"DLIFLC Korean Courses","https://www.dliflc.edu/",4.6
https:/www.youtube.com/watch,dating_class_aHR0cHM6,the_nativlang_youtube_channel_has_a_video_aHR0cHM6,"The NativLang YouTube channel has a video","https://www.youtube.com/watch?v=j9hzK0K1L4I",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,basic_korean_penmanship_aHR0cHM6,"basic Korean penmanship","https://www.youtube.com/watch?v=3jC934U5AAI",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,of_baby_shark_fame_aHR0cHM6,"of Baby Shark fame","https://www.youtube.com/watch?v=n8EUwjR1sqY",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,here_aHR0cHM6,"Here","https://www.youtube.com/watch?v=t9_NrzxTY8c&list=PLif_jr7pPZABYXmeVmhgAy6n1c8_Gi-9K",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,whale_hunting_aHR0cHM6,"*Whale Hunting* 고래사냥","https://www.youtube.com/watch?v=Fl-ns4OVC2g",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,dooly_the_little_dinosaur___aHR0cHM6,"*Dooly the Little Dinosaur* 아기공룡 둘리 \\- 얼음별 대모험","https://www.youtube.com/watch?v=5duOubzByys",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,our_twisted_hero_aHR0cHM6,"*Our Twisted Hero* 우리들의 일그러진 영웅","https://www.youtube.com/watch?v=De0ZkC1mCxc",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,festival_aHR0cHM6,"*Festival* 축제","https://www.youtube.com/watch?v=PNXf_ibPc7o",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,my_fuxxxxx_romance_aHR0cHM6,"My Fuxxxxx Romance","https://www.youtube.com/watch?v=8LnX_qIR2Is",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,let_me_off_the_earth_aHR0cHM6,"Let Me Off The Earth 내리겠습니다 지구에서","https://www.youtube.com/watch?v=Zu8lFS6UpG4&list=PLSX3E--LKYVp7XVK2lVn_FZQyjAsbD4NA",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,legally_dad_aHR0cHM6,"Legally Dad 서류상 아빠","https://www.youtube.com/watch?v=jt6ZzI-FT5g",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,girls_world_aHR0cHM6,"Girls' World 소녀의 세계","https://www.youtube.com/watch?v=RI6bWX8vIM8",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,girls_world_2_aHR0cHM6,"Girls' World 소녀의 세계 2","https://www.youtube.com/watch?v=pbW9nBJvAKQ",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,i_am_aHR0cHM6,"I Am 아이엠","https://www.youtube.com/watch?v=UUSYaQKp1Gg&list=PLlH-Fr3fGKJAJ0L4xVHxdxniXsNKTQpxI",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,failing_in_love_aHR0cHM6,"Failing in Love 연애미수","https://www.youtube.com/watch?v=PgWkzqChMLY&list=PLUnzncZb6W5BbXxDGNjL4X9SBw8xLvX6z",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,in_seoul_aHR0cHM6,"In Seoul 인서울","https://www.youtube.com/watch?v=fLIuqBLaL3Y&list=PL920OTfqSyzewA0CIVeVP_tnSaKWO48aS",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,best_mistake_aHR0cHM6,"Best Mistake 일진에게 찍혔을 때","https://www.youtube.com/watch?v=H4ed7UVZmf8&list=PLbC71lpqegGPJwshwhq3GKuxD9Zu54nk1",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_f835d9f15b2a,"basic Korean penmanship","https://www.youtube.com/watch?v=wYGU5GoK6cU",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_677a02125dee,"basic Korean penmanship","https://www.youtube.com/watch?v=-VYGqw6bThQ",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_c47f276d56ab,"of Baby Shark fame","https://www.youtube.com/watch?v=SEup-OklVTo",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_fe62981fe07c,"of Baby Shark fame","https://www.youtube.com/watch?v=xEyYnIkKjwU",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a8a3d315334b,"키스요괴","https://www.youtube.com/watch?v=7c8Cxk0uiEU&list=PLqqQvcAR1H0ly_FZX6CfYuMKZ2caaK6gl",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_f66083a52af7,"터치 미 이프 유캔","https://www.youtube.com/watch?v=g-cFk9U2n7g",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_6c24a6490cbd,"트리플 썸","https://www.youtube.com/watch?v=r7E7BHPsfqA",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_2d54d243a248,"악몽선생","https://www.youtube.com/watch?v=n4HxQfq69C0&list=PL4UxvmOOBaxVKBixGdFU_oJGFqx4GGBUj",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_084ca80aa3e3,"Naver","https://www.youtube.com/watch?v=jkHuU_iGT58",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_4c2d6a2f5db1,"Naver","https://www.youtube.com/watch?v=jjXulo3pHe4&list=PL07E4ngQneMlZq2H_QMBENoIpq0NTXdW5",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_40e4bcbcec8d,"Naver","https://www.youtube.com/watch?v=rCNOh5Bbt3g",
